op,nct,review_or_pair,action,auto,rationale
A,NCT02601313,CAR_T_LBCL_BROAD_NMA_REVIEW,nct nulled,True,"Per AACT 2026-04-12 NCT02601313 is ZUMA-2 (Brexucabtagene Autoleucel in R/R Mantle Cell Lymphoma), not ZUMA-1 (axi-cel in R/R LBCL = NCT02348216). The review labelled this entry 'ZUMA-1' under the wrong NCT; data may correspond to either trial. Nulling NCT to force re-extraction."
B,NCT00866619,MALARIA_VACCINE_REVIEW | MALARIA_VACCINES_REVIEW,delete one of the duplicate reviews,False,"Singular/plural variant of the same review topic; shared trial set with divergent extracted values. Recommend: keep one, delete the other (user judgment — neither auto-deletable)."
B,NCT04704830,MALARIA_VACCINE_REVIEW | MALARIA_VACCINES_REVIEW,delete one of the duplicate reviews,False,"Singular/plural variant of the same review topic; shared trial set with divergent extracted values. Recommend: keep one, delete the other (user judgment — neither auto-deletable)."
B,NCT01710358,JAKI_RA_NMA_REVIEW | JAK_RA_REVIEW,delete one of the duplicate reviews,False,"Acronym-variant of the same review topic (JAKi vs JAK); shared trial set (baricitinib + upadacitinib + filgotinib RA trials) with divergent extracted values. Recommend: keep one, delete the other."
B,NCT02629159,JAKI_RA_NMA_REVIEW | JAK_RA_REVIEW,delete one of the duplicate reviews,False,"Acronym-variant of the same review topic (JAKi vs JAK); shared trial set (baricitinib + upadacitinib + filgotinib RA trials) with divergent extracted values. Recommend: keep one, delete the other."
B,NCT02889796,JAKI_RA_NMA_REVIEW | JAK_RA_REVIEW,delete one of the duplicate reviews,False,"Acronym-variant of the same review topic (JAKi vs JAK); shared trial set (baricitinib + upadacitinib + filgotinib RA trials) with divergent extracted values. Recommend: keep one, delete the other."
C,NCT03775200,DEPRESSION_NEW_RAPID_REVIEW | DEPRESSION_PSYCHEDELIC_NMA_REVIEW,verify against source paper,False,"Different extracted N: (14,14,8,13) vs (79,79,35,79) — one is wrong."
C,NCT02418585,ESKETAMINE_TRD_REVIEW | DEPRESSION_NEW_RAPID_REVIEW,verify against source paper,False,"ESKETAMINE_TRD has continuous (N=114,109); DEPRESSION_NEW_RAPID has binary (36/115 vs 30/113). May be different outcomes — verify."
C,NCT02668653,AML_VEN_FLT3_NMA_REVIEW | AML_TARGETED_NEW_REVIEW,verify against source paper,False,"AML_TARGETED has (188/245, 89/122 HR 0.76); AML_VEN_FLT3_NMA has (145/268, 169/271 HR 0.78). Different outcomes likely (OS vs EFS)."
C,NCT03860935,ACORAMIDIS_ATTR_CM_REVIEW | ATTR_CM_REVIEW,verify against source paper,False,"ACORAMIDIS_ATTR_CM has (76/421, 62/211 HR 0.78); ATTR_CM has (79/409, 52/202 HR 0.72). Close but not identical — extraction noise."
C,NCT02388906,ADJUVANT_IO_MELANOMA_REVIEW | CHECKPOINT_MELANOMA_1L_REVIEW,verify against source paper,False,Adjuvant melanoma trial legitimately in all three (1L-therapy review is mixed metastatic+adjuvant). HR differs 0.65 vs 0.71 vs 0.71 — likely OS vs RFS endpoint difference.
C,NCT03410992,BIMEKIZUMAB_PSORIASIS_REVIEW | IL_PSORIASIS_NMA_REVIEW,verify against source paper,False,"BIMEKIZUMAB has (273/349, 1/86 OR 67.27); IL_PSORIASIS_NMA has (318/349, 1/86 OR 871.9). Event counts diverge (273 vs 318) — one wrong."
