trial,nct,pmid,cell,arm,value,ci_low,ci_high,p_value,source_tier,pointer,read_or_digitised,notes
PARACHUTE-HF,NCT04023227,41335448,randomised_n,sacubitril_valsartan,462,,,,T1-MAIN;T2-REG,"JAMA 2026;335:49-59 Table 2; CTG participantFlow STARTED FG000",read,
PARACHUTE-HF,NCT04023227,41335448,randomised_n,enalapril,460,,,,T1-MAIN;T2-REG,"JAMA Table 2; CTG participantFlow STARTED FG001",read,
PARACHUTE-HF,NCT04023227,41335448,randomised_n,total,922,,,,T1-ABS,"JAMA abstract Results",read,
PARACHUTE-HF,NCT04023227,41335448,design,both,open-label with blinded endpoint adjudication; ITT,,,,T1-MAIN,"JAMA main text",read,
PARACHUTE-HF,NCT04023227,41335448,sites_n,total,83,,,,T1-MAIN,"JAMA main text",read,Brazil Argentina Colombia Mexico
PARACHUTE-HF,NCT04023227,41335448,enrolment_window,total,2019-12-10 to 2023-09-13,,,,T1-MAIN,"JAMA main text",read,
PARACHUTE-HF,NCT04023227,41335448,median_followup_months,total,25.2,18.4,33.2,,T1-MAIN,"JAMA main text (IQR not CI)",read,IQR
PARACHUTE-HF,NCT04023227,41335448,loss_to_followup,total,none,,,,T1-MAIN,"JAMA main text",read,
PARACHUTE-HF,NCT04023227,41335448,withdrew_consent_n,sacubitril_valsartan,2,,,,T1-MAIN;T2-REG,"JAMA main text; CTG dropWithdraws",read,
PARACHUTE-HF,NCT04023227,41335448,withdrew_consent_n,enalapril,8,,,,T1-MAIN;T2-REG,"JAMA main text; CTG dropWithdraws",read,
PARACHUTE-HF,NCT04023227,41335448,mean_age_years,total,64.2,,,,T1-ABS;T2-REG,"JAMA abstract; CTG baseline Age Continuous BG002 spread 10.8",read,SD 10.8
PARACHUTE-HF,NCT04023227,41335448,female_n,total,387,,,,T1-ABS;T2-REG,"JAMA abstract (42.0%); CTG baseline Female BG002",read,
PARACHUTE-HF,NCT04023227,40916703,mean_lvef_pct,total,29.8,,,,T3-CONF;T5-SEC,"ESC 2025 press release; EJHF 2025;27:2879-2886 abstract",read,
PARACHUTE-HF,NCT04023227,41335448,completed_n,sacubitril_valsartan,333,,,,T2-REG,"CTG participantFlow COMPLETED FG000",read,
PARACHUTE-HF,NCT04023227,41335448,completed_n,enalapril,318,,,,T2-REG,"CTG participantFlow COMPLETED FG001",read,
PARACHUTE-HF,NCT04023227,41335448,superiority_rule,both,"win ratio >1 AND HR point estimate <1.0 for both CV death and HF hospitalisation",,,,T1-MAIN,"JAMA main text; JACC HF design paper PMID 39111953",read,prespecified composite rule
PARACHUTE-HF,NCT04023227,41335448,correction_notice,both,article corrected 22 Jan 2026 (coauthor affiliation only),,,,T1-MAIN,"JAMA correction notice",read,no data affected
PARACHUTE-HF,NCT04023227,41335448,all_cause_death_n,sacubitril_valsartan,129,,,,T1-MAIN;T2-REG,"JAMA Table 2 (27.9%; 12.9 per 100 patient-years); CTG All Collected Deaths",read,
PARACHUTE-HF,NCT04023227,41335448,all_cause_death_n,enalapril,134,,,,T1-MAIN;T2-REG,"JAMA Table 2 (29.1%; 13.5 per 100 patient-years); CTG All Collected Deaths",read,
PARACHUTE-HF,NCT04023227,41335448,all_cause_death_HR,sv_vs_ena,0.98,0.77,1.25,0.88,T1-MAIN,"JAMA Table 2",read,PREVIOUSLY MIS-RECORDED as not_computed_reason - was in main text all along; earlier gap was a blocked fetch not a data absence
PARACHUTE-HF,NCT04023227,41335448,all_cause_death_adj_abs_diff,sv_vs_ena,-1.1,-6.9,4.7,,T1-MAIN,"JAMA Table 2",read,
PARACHUTE-HF,NCT04023227,41335448,cv_death_n,sacubitril_valsartan,110,,,,T1-MAIN;T1-ABS,"JAMA Table 2 (23.8%; 11.0 per 100 patient-years)",read,
PARACHUTE-HF,NCT04023227,41335448,cv_death_n,enalapril,117,,,,T1-MAIN;T1-ABS,"JAMA Table 2 (25.4%; 11.7 per 100 patient-years)",read,
PARACHUTE-HF,NCT04023227,41335448,cv_death_HR,sv_vs_ena,0.95,0.73,1.23,0.70,T1-MAIN,"JAMA Table 2",read,UPGRADED from T3-CONF (ESC press release)
PARACHUTE-HF,NCT04023227,41335448,first_hf_hosp_n,sacubitril_valsartan,102,,,,T1-MAIN;T1-ABS,"JAMA Table 2 (22.1%; 11.0 per 100 patient-years)",read,
PARACHUTE-HF,NCT04023227,41335448,first_hf_hosp_n,enalapril,111,,,,T1-MAIN;T1-ABS,"JAMA Table 2 (24.1%; 12.4 per 100 patient-years)",read,
PARACHUTE-HF,NCT04023227,41335448,first_hf_hosp_HR,sv_vs_ena,0.92,0.70,1.20,0.52,T1-MAIN,"JAMA Table 2",read,UPGRADED from T3-CONF
PARACHUTE-HF,NCT04023227,41335448,first_hf_hosp_subdistribution_HR,sv_vs_ena,0.74,0.49,1.14,0.17,T1-MAIN,"JAMA Table 2",read,NEW - Fine-Gray with death as competing risk; not in any prior source
PARACHUTE-HF,NCT04023227,41335448,composite_cvdeath_or_hfhosp_n,sacubitril_valsartan,155,,,,T1-MAIN,"JAMA Table 2 (33.5%; 16.8 per 100 patient-years)",read,NEW counts - previously only percentages from CTG
PARACHUTE-HF,NCT04023227,41335448,composite_cvdeath_or_hfhosp_n,enalapril,169,,,,T1-MAIN,"JAMA Table 2 (36.7%; 18.8 per 100 patient-years)",read,NEW counts
PARACHUTE-HF,NCT04023227,41335448,composite_cvdeath_or_hfhosp_HR,sv_vs_ena,0.91,0.73,1.13,0.40,T1-MAIN,"JAMA Table 2",read,UPGRADED from T5-SEC; P value newly recovered
PARACHUTE-HF,NCT04023227,41335448,sudden_death_or_resusc_sca_n,sacubitril_valsartan,46,,,,T1-MAIN;T2-REG,"JAMA Table 2 (10.0%); CTG secondary outcome",read,
PARACHUTE-HF,NCT04023227,41335448,sudden_death_or_resusc_sca_n,enalapril,39,,,,T1-MAIN;T2-REG,"JAMA Table 2 (8.5%); CTG secondary outcome",read,
PARACHUTE-HF,NCT04023227,41335448,sudden_death_or_resusc_sca_HR,sv_vs_ena,1.17,0.76,1.80,0.48,T1-MAIN,"JAMA Table 2",read,NEW - only outcome whose point estimate favours enalapril
PARACHUTE-HF,NCT04023227,41335448,ed_visit_hf_n,sacubitril_valsartan,23,,,,T1-MAIN;T2-REG,"JAMA Table 2; CTG secondary outcome",read,
PARACHUTE-HF,NCT04023227,41335448,ed_visit_hf_n,enalapril,21,,,,T1-MAIN;T2-REG,"JAMA Table 2; CTG secondary outcome",read,
PARACHUTE-HF,NCT04023227,41335448,ed_visit_hf_rate_ratio,sv_vs_ena,1.12,0.48,2.58,0.80,T1-MAIN,"JAMA Table 2",read,NEW
PARACHUTE-HF,NCT04023227,41335448,days_alive_out_of_hospital_1y_mean,sacubitril_valsartan,339,,,,T1-MAIN;T2-REG,"JAMA Table 2 SD 72 n=461; CTG secondary outcome",read,SD 72
PARACHUTE-HF,NCT04023227,41335448,days_alive_out_of_hospital_1y_mean,enalapril,338,,,,T1-MAIN;T2-REG,"JAMA Table 2 SD 71 n=455; CTG secondary outcome",read,SD 71
PARACHUTE-HF,NCT04023227,41335448,days_alive_out_of_hospital_1y_diff,sv_vs_ena,1.1,-8.2,10.4,0.82,T1-MAIN,"JAMA Table 2",read,NEW
PARACHUTE-HF,NCT04023227,41335448,recurrent_hfhosp_or_cvdeath_events,sacubitril_valsartan,289,,,,T1-MAIN;T2-REG,"JAMA Table 2 (28.9 per 100 patient-years); CTG secondary outcome",read,total events not patients
PARACHUTE-HF,NCT04023227,41335448,recurrent_hfhosp_or_cvdeath_events,enalapril,316,,,,T1-MAIN;T2-REG,"JAMA Table 2 (31.7 per 100 patient-years); CTG secondary outcome",read,total events not patients
PARACHUTE-HF,NCT04023227,41335448,recurrent_hfhosp_or_cvdeath_rate_ratio,sv_vs_ena,0.90,0.63,1.28,0.56,T1-MAIN,"JAMA Table 2",read,NEW
PARACHUTE-HF,NCT04023227,41335448,vf_or_sustained_vt_n,sacubitril_valsartan,42,,,,T2-REG,"CTG other outcome OG000",read,not in Table 2
PARACHUTE-HF,NCT04023227,41335448,vf_or_sustained_vt_n,enalapril,32,,,,T2-REG,"CTG other outcome OG001",read,not in Table 2
PARACHUTE-HF,NCT04023227,41335448,atp_or_shock_therapies_n,sacubitril_valsartan,17,,,,T2-REG,"CTG other outcome OG000",read,not in Table 2
PARACHUTE-HF,NCT04023227,41335448,atp_or_shock_therapies_n,enalapril,13,,,,T2-REG,"CTG other outcome OG001",read,not in Table 2
PARACHUTE-HF,NCT04023227,41335448,win_ratio_stratified,sv_vs_ena,1.524,1.282,1.819,<0.001,T1-SUPP,"Supplement 3 eFigure 2 p26 final box; eTable 4 p14 overall row",read,PRIMARY ENDPOINT; rounded to 1.52 (1.28-1.82) in main text and abstract
PARACHUTE-HF,NCT04023227,41335448,win_ratio_unstratified,sv_vs_ena,1.54,1.34,1.85,,T1-MAIN,"JAMA Table 2",read,NEW
PARACHUTE-HF,NCT04023227,41335448,total_matches,total,101477,,,,T1-SUPP,"Supplement 3 eFigure 2 p26 header box; eTable 4 p14 'total matches = 101477'",read,SUPERSEDES the 212520 figure in Cardiology Trials appraisal - see discrepancy rows
PARACHUTE-HF,NCT04023227,41335448,total_wins_unweighted,sacubitril_valsartan,48041,,,,T1-SUPP,"Supplement 3 eTable 4 p14 overall row (47.3%)",read,
PARACHUTE-HF,NCT04023227,41335448,total_wins_unweighted,enalapril,33790,,,,T1-SUPP,"Supplement 3 eTable 4 p14 overall row (33.3%)",read,
PARACHUTE-HF,NCT04023227,41335448,total_ties_unweighted,total,19646,,,,T1-SUPP,"Supplement 3 eTable 4 p14 overall row (19.4%)",read,
PARACHUTE-HF,NCT04023227,41335448,total_weighted_wins,sacubitril_valsartan,111.3,,,,T1-SUPP,"Supplement 3 eFigure 2 p26; eTable 4 p14",read,
PARACHUTE-HF,NCT04023227,41335448,total_weighted_wins,enalapril,73.0,,,,T1-SUPP,"Supplement 3 eFigure 2 p26; eTable 4 p14",read,
