cat,rel_pct,app,nct,est,app_val,app_lci,app_uci,src_val,src_lci,src_uci,src_origin,outcome_title
SIGNFLIP,652,ALS_NEW_AGENTS_NMA,NCT03127514,MD,2.32,.16,4.48,-0.42,-0.812,-0.028,outcome_measurements_mean_arms,ALSFRS-R 24wk CENTAUR
SIGNFLIP,294,OSTEOPOROSIS_BROAD_NMA,NCT01796301,MD,6.2,5.4,7,-3.2,-3.7544,-2.6456,outcome_measurements_mean_arms,Total-hip BMD STRUCTURE
RECIPROCAL,35,ANTI_PD1_GASTRIC,NCT02370498,HR,0.82,.66,1.03,1.27,1.03,1.57,outcome_analyses,OS in 2L PD-L1 CPS ≥1
RECIPROCAL,25,HYPOFRAC_BREAST_RT_NMA,NCT00118209,HR,1.16,.84,1.61,0.93,0.68,1.27,outcome_analyses,5y IBTR NSABP-B-39
RECIPROCAL,8,ENDOMETRIAL_IO_PARP,NCT03884101,HR,0.93,.79,1.1,1.01,0.83,1.24,outcome_analyses,PFS in 1L (NEGATIVE primary)
RECIPROCAL,8,SBRT_PROSTATE_LOCAL_NMA,NCT00033631,HR,0.92,.68,1.25,1.0,0.83,1.2,outcome_analyses,5-year DFS hypofx (RTOG-0415)
RECIPROCAL,8,VITAMIN_D_FRACTURE_FALL,NCT01169259,HR,1.04,.94,1.16,0.96,0.88,1.06,outcome_analyses,"Invasive cancer (vit D vs placebo, primary)"
EXTREME,283,ALS_NEW_AGENTS_NMA,NCT00330681,MD,2.49,.99,3.99,0.65,-1.6923,2.9923,outcome_measurements_mean_arms,ALSFRS-R 24wk MCI-186-19
EXTREME,110,ACALABRUTINIB_CLL,NCT02475681,HR,0.21,.14,.32,0.1,0.06,0.17,outcome_analyses,"Investigator-assessed progression-free survival (primary, acalabrutinib vs chlor"
MODERATE,90,PNH_NEW_COMPLEMENT,NCT04558918,OR,33.87,2.13,539.4,338.25,25.07,4564.14,outcome_analyses,Hemoglobin response in C5-experienced PNH
MODERATE,76,IL_PSORIASIS_NMA,NCT03410992,OR,871.9,117.5,6483,496.318,82.798,2975.086,outcome_analyses,PASI 90 at week 16 bimekizumab 320 mg Q4W vs placebo (OR; BE READY; Haldane-Ansc
MODERATE,75,PNH_NEW_COMPLEMENT,NCT04469465,MD,6.2,2.66,14.46,24.44,16.9,31.99,outcome_analyses,Hemoglobin response with factor D adjunct
MODERATE,71,CARDIAC_CONTRACTILITY_MOD_NMA,NCT01381172,MD,0.84,.32,1.36,0.49,-0.6304,1.6104,outcome_measurements_mean_arms,Peak VO2 FIX-HF-5C
MODERATE,66,CRC_TARGETED_BROAD,NCT04008030,HR,0.21,.14,.32,0.62,0.48,0.81,outcome_analyses,PFS in 1L MSI-H mCRC
MODERATE,65,HEAD_NECK_IO_BROAD,NCT04428333,HR,0.76,.57,1.01,2.16,0.2,23.87,outcome_analyses,EFS in adjuvant high-risk HNSCC
MODERATE,64,PBC_NEW_AGENTS,NCT04526665,OR,13.49,3.42,53.16,37.562,7.641,302.247,outcome_analyses,Composite biochemical response at 52 weeks
MODERATE,44,PROSTATE_PARP_HRR_BROAD,NCT02987543,HR,0.49,.38,.63,0.34,0.25,0.47,outcome_analyses,rPFS in HRR+ post-AR mCRPC
MODERATE,42,ARPI_mHSPC,NCT01715285,HR,0.66,.56,.78,0.466,0.394,0.55,outcome_analyses,"Overall survival (primary, abiraterone+ADT vs placebo+ADT; LATITUDE is the origi"
MODERATE,40,DIABETIC_MACULAR_EDEMA,NCT01627249,MD,2.1,.4,3.8,3.5,1.4,5.7,outcome_analyses,"BCVA letter change at 1y, aflibercept vs ranibizumab (overall)"
MODERATE,36,ALOPECIA_JAKI,NCT03899259,OR,10.66,4.41,25.81,7.86,2.79,22.17,outcome_analyses,"SALT <=20 (primary, baricitinib 4 mg vs placebo, severe alopecia areata; BRAVE-A"
MODERATE,34,ARPI_mHSPC,NCT02489318,HR,0.65,.53,.79,0.484,0.391,0.6,outcome_analyses,Overall survival (final 2021 JCO update)
MODERATE,33,AML_TARGETED_NEW,NCT03173248,HR,0.44,.27,.73,0.33,0.16,0.69,outcome_analyses,EFS in newly-diagnosed IDH1+ AML
MODERATE,32,PROSTATE_AR_NEXT_GEN,NCT01949337,HR,0.63,.53,.75,0.93,0.8,1.08,outcome_analyses,Overall survival in mCRPC chemo-naive
MODERATE,31,OVARIAN_PARP,NCT02655016,HR,0.43,.31,.59,0.62,0.502,0.755,outcome_analyses,PFS in 1L HRD-positive subgroup
MODERATE,30,PROSTATE_RADIOLIGAND_BROAD,NCT04647526,HR,0.5,.39,.65,0.71,0.55,0.92,outcome_analyses,rPFS in pre-chemo mCRPC
MODERATE,28,ANTI_PD1_GASTRIC,NCT03189719,HR,0.73,.62,.86,0.57,0.43,0.75,outcome_analyses,OS in 1L esophageal/GEJ
MODERATE,28,ELACESTRANT_BC,NCT03778931,HR,0.7,.55,.88,0.546,0.387,0.768,outcome_analyses,Investigator-assessed PFS in ITT (primary; HR vs IC endocrine)
MODERATE,27,PROSTATE_PARP_HRR_BROAD,NCT03748641,HR,0.53,.36,.79,0.729,0.556,0.956,outcome_analyses,rPFS in HRR+ subgroup
MODERATE,26,ANTI_PDL1_BLADDER,NCT02256436,HR,0.73,.59,.91,0.98,0.81,1.19,outcome_analyses,OS in 2L urothelial
MODERATE,26,IO_CHEMO_NSCLC_1L,NCT02366143,HR,0.78,.64,.96,0.62,0.52,0.74,outcome_analyses,"Overall survival (primary in EGFR/ALK-WT ITT, ABCP vs BCP, HR)"
MODERATE,25,CTEPH_NMA,NCT01416636,MD,31.0,8,54,41.6,17.0685,66.1315,outcome_measurements_mean_arms,6MWD treprostinil INHALE
MILD,24,MASH_DRUGS,NCT03008070,RR,1.88,1.13,3.13,1.52,0.98,2.12,outcome_analyses,SAF-A score reduction at week 24
MILD,24,OVARIAN_PARP,NCT03106987,HR,0.43,.31,.6,0.566,0.372,0.868,outcome_analyses,PFS on re-challenge with PARP
MILD,23,ENDOMETRIAL_IO_PARP,NCT04269200,HR,0.55,.43,.69,0.71,0.57,0.89,outcome_analyses,PFS with durva+olaparib+chemo
MILD,22,ADJUVANT_IO_PAN_TUMOR,NCT02486718,HR,0.66,.5,.88,0.848,0.71,1.013,outcome_analyses,DFS in stage II-IIIA PD-L1+ NSCLC
MILD,22,PROSTATE_PARP_HRR_BROAD,NCT02975934,HR,0.61,.47,.8,0.5,0.36,0.69,outcome_analyses,rPFS in BRCA+ post-AR cohort
MILD,20,HEAD_NECK_IO_BROAD,NCT02358031,HR,0.74,.62,.89,0.93,0.78,1.11,outcome_analyses,OS in 1L PD-L1 CPS ≥20
MILD,19,CHECKPOINT_MELANOMA_1L,NCT01866319,HR,0.69,.52,.9,0.58,0.46,0.72,outcome_analyses,Overall survival (5y update)
MILD,19,PD1_RCC_1L,NCT04338269,HR,0.83,.67,1.04,1.03,0.83,1.28,outcome_analyses,OS in advanced RCC (subcutaneous formulation)
MILD,19,PROSTATE_RADIOLIGAND_BROAD,NCT01578239,HR,0.21,.13,.33,0.177,0.108,0.289,outcome_analyses,PFS in midgut NET
MILD,18,SCLC_IO,NCT04026412,HR,0.78,.54,1.13,0.95,0.77,1.19,outcome_analyses,OS in 1L (small phase 2 ECOG)
MILD,16,BLADDER_UROTHEL_FRONTLINE_IO_NMA,NCT02516241,HR,0.99,.83,1.18,0.85,0.688,1.063,outcome_analyses,OS DANUBE durva (NEGATIVE)
MILD,16,CHECKPOINT_ESOPHAGEAL_SCC,NCT03143153,HR,0.74,.58,.96,0.64,0.46,0.9,outcome_analyses,OS in PD-L1 TPS ≥1% (1L)
MILD,16,NSCLC_PD1_1L,NCT02220894,HR,0.81,.71,.93,0.7,0.58,0.86,outcome_analyses,OS in PD-L1 TPS ≥1%
