file,nct,pmid,claimed_name,claimed_year,status,esummary_title,esummary_year,suggested_pmid,suggested_title,suggested_query,status_v2
ACALABRUTINIB_CLL_REVIEW.html,NCT02475681,32305093,ELEVATE-TN,,OK,"Acalabrutinib with or without obinutuzumab versus chlorambucil and obinutuzmab for treatment-naive chronic lymphocytic leukaemia (ELEVATE TN): a randomised, controlled, phase 3 trial.",2020 Apr 18,,,,OK_ACRONYM
ACALABRUTINIB_CLL_REVIEW.html,NCT02970318,32459600,ASCEND,,OK,"ASCEND: Phase III, Randomized Trial of Acalabrutinib Versus Idelalisib Plus Rituximab or Bendamustine Plus Rituximab in Relapsed or Refractory Chronic Lymphocytic Leukemia.",2020 Sep 1,,,,OK_ACRONYM
ACORAMIDIS_ATTR_CM_REVIEW.html,NCT03860935,38842402,ATTRibute-CM,,WRONG_PMID,Schwannian and Perineuriomatous Differentiation in a Series of Giant Congenital Melanocytic Nevi.,2024 Aug 1,41384357,A plain language review of the ATTRibute-CM study: efficacy and safety of acoramidis in transthyretin amyloid cardiomyopathy.,NCT03860935[si],WRONG_PMID
ACS_ANTIPLATELET_REVIEW.html,NCT00391872,19717846,PLATO,,WRONG_PMID,Ticagrelor versus clopidogrel in patients with acute coronary syndromes.,2009 Sep 10,37713684,Strokes and Transient Ischemic Attacks Occurrence During Annual Dual Antiplatelet Therapy.,NCT00391872[si],OK_KEYWORDS
ACS_ANTIPLATELET_REVIEW.html,NCT00097591,17982182,TRITON-TIMI 38,,WRONG_PMID,Prasugrel versus clopidogrel in patients with acute coronary syndromes.,2007 Nov 15,35224730,Antiplatelet agents for chronic kidney disease.,NCT00097591[si],OK_KEYWORDS
ACS_ANTIPLATELET_REVIEW.html,NCT01944800,31475799,ISAR-REACT 5,,WRONG_PMID,Ticagrelor or Prasugrel in Patients with Acute Coronary Syndromes.,2019 Oct 17,36546322,Immature Platelet Fraction Predicts Adverse Events in Patients With Acute Coronary Syndrome: the ISAR-REACT 5 Reticulated Platelet Substudy.,NCT01944800[si],OK_KEYWORDS
ACS_ANTIPLATELET_REVIEW.html,NCT02270242,31556978,TWILIGHT,,WRONG_PMID,Ticagrelor with or without Aspirin in High-Risk Patients after PCI.,2019 Nov 21,39889917,Characterizing high-risk enrollment criteria and impact on clinical outcomes in a large randomized clinical trial: Insights from the TWILIGHT trial.,NCT02270242[si],OK_KEYWORDS
ADC_HER2_ADJUVANT_REVIEW.html,NCT01772472,30516102,KATHERINE,,WRONG_PMID,Trastuzumab Emtansine for Residual Invasive HER2-Positive Breast Cancer.,2019 Feb 14,39813643,,NCT01772472[si],OK_KEYWORDS
ADC_HER2_LOW_REVIEW.html,NCT03734029,35665782,DESTINY-Breast04,,WRONG_PMID,Trastuzumab Deruxtecan in Previously Treated HER2-Low Advanced Breast Cancer.,2022 Jul 7,41062831,"Trastuzumab deruxtecan in HER2-low metastatic breast cancer: long-term survival analysis of the randomized, phase 3 DESTINY-Breast04 trial.",NCT03734029[si],OK_KEYWORDS
ADC_HER2_LOW_REVIEW.html,NCT04494425,39282896,DESTINY-Breast06,,WRONG_PMID,Trastuzumab Deruxtecan after Endocrine Therapy in Metastatic Breast Cancer.,2024 Dec 5,,,,OK_KEYWORDS
