file,nct,pmid,claimed_name,claimed_year,status,esummary_title,esummary_year,suggested_pmid,suggested_title,suggested_query,status_v3
ACORAMIDIS_ATTR_CM_REVIEW.html,NCT03860935,38842402,ATTRibute-CM,,WRONG_PMID,Schwannian and Perineuriomatous Differentiation in a Series of Giant Congenital Melanocytic Nevi.,2024 Aug 1,41384357,A plain language review of the ATTRibute-CM study: efficacy and safety of acoramidis in transthyretin amyloid cardiomyopathy.,NCT03860935[si],WRONG_PMID
AFICAMTEN_HCM_REVIEW.html,NCT05186818,38754167,SEQUOIA-HCM,,WRONG_PMID,Applications and characterization of anti-browning enzymatically modified potato starch (EPS) film associated with chitosan (CTS)/L-Cys/citric acid (CA) on fresh-cut potato slices.,2024 Sep 15,41347307,Efficacy and Safety of Aficamten in Children and Adolescents With Obstructive Hypertrophic Cardiomyopathy: Study Design and Rationale of CEDAR-HCM.,NCT05186818[si],WRONG_PMID
AGYW_HIV_PREP_REVIEW.html,NCT01386294,25986365,"FACTS-001 (vaginal tenofovir gel, AGYW)",,WRONG_PMID,A smaller amygdala is associated with anxiety in Parkinson's disease: a combined FreeSurfer-VBM study.,2016 May,30507409,"Tenofovir 1% vaginal gel for prevention of HIV-1 infection in women in South Africa (FACTS-001): a phase 3, randomised, double-blind, placebo-controlled trial.",NCT01386294[si],WRONG_PMID
ALK_NSCLC_REVIEW.html,NCT02767804,34516551,eXalt3,,WRONG_PMID,Prenatal care providers' perceptions of the SARS-Cov-2 vaccine for themselves and for pregnant women.,2021,34473194,Ensartinib vs Crizotinib for Patients With Anaplastic Lymphoma Kinase-Positive Non-Small Cell Lung Cancer: A Randomized Clinical Trial.,NCT02767804[si],WRONG_PMID
ALOPECIA_JAKI_REVIEW.html,NCT03732807,37148884,ALLEGRO-2b/3,,WRONG_PMID,Dual-pharmacophore artezomibs hijack the Plasmodium ubiquitin-proteasome system to kill malaria parasites while overcoming drug resistance.,2023 May 18,41917311,Long-Term Efficacy and Safety of Ritlecitinib in Adults and Adolescents with Alopecia Areata: 3-Year Results from the ALLEGRO Phase 2b/3 and ALLEGRO-LT Phase 3 Clinical Studies.,NCT03732807[si],WRONG_PMID
ALOPECIA_JAKI_REVIEW.html,NCT04518995,37423283,THRIVE-AA1,,WRONG_PMID,Assessing the impacts of fine sediment removal on endogenous pollution release and microbial community structure in the shallow lakes.,2023 Nov 1,39053611,"Efficacy and safety of deuruxolitinib, an oral selective Janus kinase inhibitor, in adults with alopecia areata: Results from the Phase 3 randomized, controlled trial (THRIVE-AA1).",THRIVE-AA1[ti],WRONG_PMID
ALOPECIA_JAKI_REVIEW.html,NCT04797650,37423283,THRIVE-AA2,,WRONG_PMID,Assessing the impacts of fine sediment removal on endogenous pollution release and microbial community structure in the shallow lakes.,2023 Nov 1,41317911,"Efficacy and safety of deuruxolitinib, an oral selective Janus kinase 1/2 inhibitor, in adults with alopecia areata: Results from the THRIVE-AA2 Phase 3, randomized, double-blind, controlled trial.",THRIVE-AA2[ti],WRONG_PMID
ANTI_CD20_MS_REVIEW.html,NCT03277261,36044451,ULTIMATE I,,WRONG_PMID,Retraction: Foliar application of mepiquat chloride and nitrogen improves yield and fiber quality traits of cotton (Gossypium hirsutum L.).,2022,41787239,Efficacy of Ublituximab in People with Highly Active Relapsing Multiple Sclerosis.,NCT03277261[si],WRONG_PMID
ANTI_CD20_MS_REVIEW.html,NCT03277248,36044451,ULTIMATE II,,WRONG_PMID,Retraction: Foliar application of mepiquat chloride and nitrogen improves yield and fiber quality traits of cotton (Gossypium hirsutum L.).,2022,41787239,Efficacy of Ublituximab in People with Highly Active Relapsing Multiple Sclerosis.,NCT03277248[si],WRONG_PMID
ANTIAMYLOID_AD_REVIEW.html,NCT03887455,36449413,Clarity-AD,,WRONG_PMID,Lecanemab in Early Alzheimer's Disease.,2023 Jan 5,41689888,Lecanemab for treatment of individuals with early Alzheimer's Disease (AD) who are apolipoprotein E ε4 (ApoE ε4) non-carriers or heterozygotes.,NCT03887455[si],WRONG_PMID
ARPI_NMCRPC_REVIEW.html,NCT02200614,30806750,ARAMIS,,WRONG_PMID,The impact of revascularization on myocardial blood flow as assessed by positron emission tomography.,2019 Jun,41450200,Effects of Prior Local Therapy by Radical Prostatectomy or Radiotherapy on the Efficacy and Quality of Life of Patients Treated With Darolutamide in ARAMIS.,NCT02200614[si],WRONG_PMID
ATTR_PN_REVIEW.html,NCT04136184,37815926,NEURO-TTRansform,,WRONG_PMID,Metabolism of testosterone and progesterone by cytochrome P450 2C19 allelic variants.,2023 Dec,41937511,Eplontersen for Hereditary Transthyretin Amyloidosis With Polyneuropathy: An Exploratory Analysis of Treatment Effect in Male and Female Patients.,NCT04136184[si],WRONG_PMID
AVACINCAPTAD_GA_REVIEW.html,NCT02686658,37597519,GATHER-1,,WRONG_PMID,Immature leaves are the dominant volatile-sensing organs of maize.,2023 Sep 11,39538001,Progression to complete retinal pigment epithelium and outer retinal atrophy (cRORA): post hoc analysis of the GATHER1 trial.,NCT02686658[si],WRONG_PMID
AVACINCAPTAD_GA_REVIEW.html,NCT04435366,37597519,GATHER-2,,WRONG_PMID,Immature leaves are the dominant volatile-sensing organs of maize.,2023 Sep 11,41407269,,NCT04435366[si],WRONG_PMID
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,NCT02048007,32334706,MORDOR-II,,WRONG_PMID,Malaria eradication.,2020 Apr 25,40824641,,NCT02048007[si],WRONG_PMID
BIMEKIZUMAB_PSORIASIS_REVIEW.html,NCT03412747,34260840,BE-SURE,,WRONG_PMID,"Case 21-2021: A 33-Year-Old Pregnant Woman with Fever, Abdominal Pain, and Headache.",2021 Jul 15,41800601,"Bimekizumab efficacy in scalp, nail and palmoplantar psoriasis versus comparators and over 4 years.",NCT03412747[si],WRONG_PMID
