review_file,status,e156_paper_num,e156_paper_title
ABLATION_AF_REVIEW.html,MATCH,422,Catheter Ablation for Atrial Fibrillation: Living Meta-Analysis of Hard Endpoints
ACALABRUTINIB_CLL_REVIEW.html,MATCH,530,Acalabrutinib — Living Meta-Analysis (RapidMeta)
ACORAMIDIS_ATTR_CM_REVIEW.html,MATCH,561,Acoramidis — Living Meta-Analysis (RapidMeta)
ACS_ANTIPLATELET_REVIEW.html,MATCH,681,ACS Antiplatelet NMA — Living Meta-Analysis (RapidMeta)
ADC_HER2_ADJUVANT_REVIEW.html,MATCH,683,ADC NMA in HER2+ Early Breast Cancer Adjuvant — Living Meta-Analysis (RapidMeta)
ADC_HER2_LOW_REVIEW.html,MATCH,684,ADC NMA in HER2-Low Metastatic Breast Cancer — Living Meta-Analysis (RapidMeta)
ADC_HER2_NMA_REVIEW.html,MATCH,565,ADC NMA in HER2+ MBC 2L+ PFS — Living Meta-Analysis (RapidMeta)
AFICAMTEN_HCM_REVIEW.html,MATCH,566,Aficamten — Living Meta-Analysis (RapidMeta)
AFLIBERCEPT_HD_REVIEW.html,MATCH,531,Aflibercept 8 mg High-Dose for nAMD and DME — Living Meta-Analysis (RapidMeta)
AGYW_HIV_PREP_REVIEW.html,MATCH,687,HIV PrEP Modalities for Adolescent Girls and Young Women in sub-Saharan Africa NMA — Living Meta-Analysis (RapidMeta)
ALDO_SYNTHASE_REVIEW.html,MATCH,688,Aldosterone Synthase Inhibitors in Resistant Hypertension NMA — Living Meta-Analysis (RapidMeta)
ALOPECIA_JAKI_REVIEW.html,MATCH,690,JAK Inhibitors in Severe Alopecia Areata — NMA — Living Meta-Analysis (RapidMeta)
ANIFROLUMAB_SLE_REVIEW.html,MATCH,497,Anifrolumab in Moderate-to-Severe SLE — Living Meta-Analysis (RapidMeta)
ANTIAMYLOID_AD_NMA_REVIEW.html,MATCH,569,Anti-Amyloid mAbs NMA in Early Alzheimer Disease — Living Meta-Analysis (RapidMeta)
ANTIAMYLOID_AD_REVIEW.html,MATCH,428,Anti-Amyloid Antibodies in Early Alzheimers Disease: Living Meta-Analysis
ANTIPSYCHOTICS_SCHIZO_REVIEW.html,MATCH,696,Antipsychotic Pivotal-Trial Summary NMA in Acute Schizophrenia — Living Meta-Analysis (RapidMeta)
ANTIVEGF_NAMD_NMA_REVIEW.html,MATCH,571,Anti-VEGF Class NMA in Neovascular AMD — Living Meta-Analysis (RapidMeta)
ANTI_CD20_MS_REVIEW.html,MATCH,697,Anti-CD20 Therapies in Relapsing MS — NMA — Living Meta-Analysis (RapidMeta)
ARNI_HF_REVIEW.html,MATCH,413,Sacubitril/Valsartan Across Heart Failure Spectrum: Living Meta-Analysis of Randomized Trials
ATOPIC_DERM_NMA_REVIEW.html,MATCH,573,Atopic Dermatitis Biologics + JAKi NMA — Living Meta-Analysis (RapidMeta)
ATTR_CM_REVIEW.html,MATCH,440,Tafamidis and Vutrisiran in ATTR Cardiomyopathy: Living Meta-Analysis
AVACINCAPTAD_GA_REVIEW.html,MATCH,574,Avacincaptad Pegol — Living Meta-Analysis (RapidMeta)
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,MATCH,575,Mass Azithromycin for Under-5 Mortality in Sub-Saharan Africa — Living Meta-Analysis (RapidMeta)
BELIMUMAB_SLE_REVIEW.html,MATCH,546,Belimumab in SLE — Living Meta-Analysis (RapidMeta)
BEMPEDOIC_ACID_REVIEW.html,MATCH,419,Bempedoic Acid for Cardiovascular Prevention: Living Meta-Analysis
BIMEKIZUMAB_PSORIASIS_REVIEW.html,MATCH,576,Bimekizumab — Living Meta-Analysis (RapidMeta)
BIOLOGIC_ASTHMA_REVIEW.html,MATCH,404,Tezepelumab in Severe Asthma: Living Meta-Analysis of Randomized Trials
BPAL_MDRTB_REVIEW.html,MATCH,577,BPaL / BPaLM Short Regimens for MDR / XDR Tuberculosis — Living Meta-Analysis (RapidMeta)
BTKI_CLL_NMA_REVIEW.html,MATCH,547,BTKi Class NMA in CLL — Living Meta-Analysis (RapidMeta)
CAB_PREP_HIV_REVIEW.html,MATCH,499,Cabotegravir LA for HIV Pre-Exposure Prophylaxis — Living Meta-Analysis (RapidMeta)
CANGRELOR_PCI_REVIEW.html,MATCH,500,Cangrelor vs Clopidogrel in PCI — Living Meta-Analysis (RapidMeta)
CAPIVASERTIB_BC_REVIEW.html,MATCH,578,Capivasertib + Fulvestrant in HR+/HER2- Advanced Breast Cancer — Living Meta-Analysis (RapidMeta)
CARDIORENAL_DKD_NMA_REVIEW.html,MATCH,579,Modern Cardiorenal Therapies in CKD — Living Meta-Analysis (RapidMeta)
CART_DLBCL_REVIEW.html,MATCH,501,CAR-T as Second-Line Therapy for R/R Aggressive B-Cell Lymphoma — Living Meta-Analysis (RapidMeta)
CART_MM_REVIEW.html,MATCH,502,CAR-T in Relapsed/Refractory Multiple Myeloma — Living Meta-Analysis (RapidMeta)
