file,nct,pmid,claimed_name,claimed_year,status,esummary_title,esummary_year,suggested_pmid,suggested_title,suggested_query,status_v3,new_pmid,new_title
AGYW_HIV_PREP_REVIEW.html,NCT02732730,33513145,"HPTN 082 (oral PrEP, AGYW)",,WRONG_PMID,Overview of snakebite in Brazil: Possible drivers and a tool for risk mapping.,2021 Jan,41249973,Engagement of adolescent girls and young women into an early oral PrEP open-label study in Southern Africa: lessons learned from HPTN 082.,NCT02732730[si],WRONG_PMID,32144874,The influence of HIV-related stigma on PrEP disclosure and adherence among adolescent girls and young women in HPTN 082: a qualitative study.
AVACINCAPTAD_GA_REVIEW.html,NCT04435366,37597519,GATHER-2,,WRONG_PMID,Immature leaves are the dominant volatile-sensing organs of maize.,2023 Sep 11,41407269,Avacincaptad Pegol for Geographic Atrophy Secondary to Age-Related Macular Degeneration: Two-Year Efficacy and Safety Results from the GATHER2 Phase 3 Trial.,NCT04435366[si],WRONG_PMID,37696275,"Efficacy and safety of avacincaptad pegol in patients with geographic atrophy (GATHER2): 12-month results from a randomised, double-masked, phase 3 trial."
BPAL_MDRTB_REVIEW.html,NCT02409290,36368333,STREAM-2,,WRONG_PMID,Effects of fish oil on methotrexate-induced reproductive damage in rats.,2022 Dec,38462751,T-wave morphology abnormalities in the STREAM stage 1 trial.,NCT02409290[si],WRONG_PMID,30865791,A Trial of a Shorter Regimen for Rifampin-Resistant Tuberculosis.
CABOTEGRAVIR_HIV_ART_REVIEW.html,NCT02938520,32130807,FLAIR,,WRONG_PMID,Misguided Changes to SNAP - Defending a Public Health Intervention for the Poor.,2020 Mar 26,40779489,Subcutaneous injections of cabotegravir plus rilpivirine long-acting in virally suppressed adults with HIV-1.,NCT02938520[si],WRONG_PMID,32130806,Long-Acting Cabotegravir and Rilpivirine after Oral Induction for HIV-1 Infection.
CRYPTOCOCCAL_MENINGITIS_AFRICA_REVIEW.html,NCT01075152,24941068,COAT (ART timing in CM),,WRONG_PMID,Computational model of erratic arrhythmias in a cardiac cell network: the role of gap junctions.,2014,39972326,"Experiences, challenges, gaps, and strategies for counselling persons presenting with advanced HIV-associated meningitis in Uganda.",NCT01075152[si],WRONG_PMID,23945372,Cryptococcus neoformans ex vivo capsule size is associated with intracranial pressure and host immune response in HIV-associated cryptococcal meningitis.
DELANDISTROGENE_DMD_REVIEW.html,NCT05096221,38978283,EMBARK,,WRONG_PMID,Catheter-related and clinical complications associated with QDOT MICRO(TM) Ablation Catheter.,2024 Sep,41518520,Two-Year Outcomes Following Delandistrogene Moxeparvovec Treatment in Ambulatory Patients with Duchenne Muscular Dystrophy: Phase 3 EMBARK Trial.,NCT05096221[si],WRONG_PMID,39385046,AAV gene therapy for Duchenne muscular dystrophy: the EMBARK phase 3 randomized trial.
DIABETIC_RETINOPATHY_REVIEW.html,NCT02718326,33890860,PANORAMA (Brown 2021),,WRONG_PMID,Development and Implementation of a Multidisciplinary Electronic Discharge Readiness Tool: User-Centered Design Approach.,2021 Apr 23,34351414,Evaluation of Intravitreal Aflibercept for the Treatment of Severe Nonproliferative Diabetic Retinopathy: Results From the PANORAMA Randomized Clinical Trial.,NCT02718326[si],WRONG_PMID,34351414,Evaluation of Intravitreal Aflibercept for the Treatment of Severe Nonproliferative Diabetic Retinopathy: Results From the PANORAMA Randomized Clinical Trial.
DOLUTEGRAVIR_ART_SSA_REVIEW.html,NCT02777229,31339674,NAMSAL,,WRONG_PMID,Health Care Autonomy of Women Living with HIV.,2019 Aug 29,38156046,Durability of the Efficacy and Safety of Dolutegravir-Based and Low-Dose Efavirenz-Based Regimens for the Initial Treatment of Human Immunodeficiency Virus Type 1 Infection in Cameroon: Week 192 Data of the NAMSAL-ANRS-12313 Study.,NCT02777229[si],WRONG_PMID,31339676,Dolutegravir-Based or Low-Dose Efavirenz-Based Regimen for the Treatment of HIV-1.
DOLUTEGRAVIR_ART_SSA_REVIEW.html,NCT03048422,33812489,IMPAACT 2010,,WRONG_PMID,Psoriasis.,2021 Apr 3,39250651,Markers of Maternal Bone and Renal Toxicity Through 50 Weeks Postpartum: IMPAACT 2010 (VESTED) Trial.,NCT03048422[si],WRONG_PMID,33812487,"Efficacy and safety of dolutegravir with emtricitabine and tenofovir alafenamide fumarate or tenofovir disoproxil fumarate, and efavirenz, emtricitabine, and tenofovir disoproxil fumarate HIV antiretroviral therapy regimens started in pregnancy (IMPAACT 2010/VESTED): a multicentre, open-label, randomised, controlled, phase 3 trial."
FINERENONE_REVIEW.html,NCT01874431,27230798,ARTS-DN,,WRONG_PMID,The next generation of therapeutics for chronic kidney disease.,2016 Aug,40938666,Effect of Finerenone on Morbidity and Mortality in CKD.,NCT01874431[si],WRONG_PMID,26325557,Effect of Finerenone on Albuminuria in Patients With Diabetic Nephropathy: A Randomized Clinical Trial.
