source	record_id	title	journal_or_status	year_or_start	url	stage	decision	axis_failed	quantity_reported_instead	synthesis_candidate
PubMed	42542200	Impact of estimated total blood volume on NT-proBNP response to angiotensin receptor-neprilysin inhibition in acute heart failure: insights from the PREMIER study	American heart journal	2026	https://pubmed.ncbi.nlm.nih.gov/42542200/	TiAb	exclude	COMPARATOR	NT-proBNP response; PREMIER randomised against standard treatment, not enalapril	N
PubMed	42382224	Provider Preferences About a Polypill for Heart Failure With Reduced Ejection Fraction: Development of a Multicenter Physician Survey Containing a Discrete Choice Experiment	Journal of cardiac failure - intersections	2026	https://pubmed.ncbi.nlm.nih.gov/42382224/	TiAb	exclude	RANDOMISATION	discrete-choice preference weights	N
PubMed	42211603	Expert Opinion on Optimising Guideline-Directed Medical Therapy and Expanding the Role of Angiotensin Receptor-Neprilysin Inhibitors (ARNIs) for Heart Failure Management in India	Cureus	2026	https://pubmed.ncbi.nlm.nih.gov/42211603/	TiAb	exclude	RANDOMISATION	narrative expert opinion	N
PubMed	41923142	Sacubitril/Valsartan Versus Enalapril in Chagas Cardiomyopathy With Heart Failure With Reduced Ejection Fraction: A Systematic Review and Meta-Analysis	Cardiology in review	2026	https://pubmed.ncbi.nlm.nih.gov/41923142/	TiAb	exclude	RANDOMISATION	pooled estimate across trials	Y
PubMed	41912806	The NPR1 agonist antibody XXB750 in heart failure: a phase 2 randomized trial	Nature medicine	2026	https://pubmed.ncbi.nlm.nih.gov/41912806/	TiAb	exclude	INTERVENTION	XXB750 is the intervention; sacubitril/valsartan is an active reference arm	N
PubMed	41910669	You evaluation of the PARACHUTE-HF trial: role of sacubitril/valsartan compared to enalapril on outcomes in patients with heart failure from Chagas disease	Heart failure reviews	2026	https://pubmed.ncbi.nlm.nih.gov/41910669/	TiAb	exclude	RANDOMISATION	narrative commentary on PARACHUTE-HF	N
PubMed	41870675	ANSWER-HF: sacubitril-valsartan reduces NT-proBNP in heart failure due to Chagas cardiomyopathy despite no reverse remodeling	Heart failure reviews	2026	https://pubmed.ncbi.nlm.nih.gov/41870675/	TiAb	exclude	RANDOMISATION	narrative commentary on ANSWER-HF	N
PubMed	41773097	Efficacy and Safety of Sacubitril/Valsartan Versus Enalapril in the Treatment of Heart Failure With Reduced Ejection Fraction: A Systematic Review and Meta-Analysis	Cureus	2026	https://pubmed.ncbi.nlm.nih.gov/41773097/	TiAb	exclude	RANDOMISATION	pooled estimate across trials	Y
PubMed	41725865	Challenges in managing pediatric heart failure, especially in resource-limited settings	Annals of pediatric cardiology	2025	https://pubmed.ncbi.nlm.nih.gov/41725865/	TiAb	exclude	RANDOMISATION	editorial narrative	N
PubMed	41501364	Early drop in blood pressure following angiotensin receptor-neprilysin inhibitor initiation in decompensated heart failure	Hypertension research	2026	https://pubmed.ncbi.nlm.nih.gov/41501364/	TiAb	exclude	RANDOMISATION	observational blood-pressure change	N
