record_id	original_decision	original_axis	adjudicated_decision	adjudicated_axis	quantity_established_at_source	source_read	status
41335448	exclude	OUTCOME	INCLUDE	-	HR 0.91 (0.73-1.13) P=.40 for first HF hospitalisation or CV death, 155/462 vs 169/460; Cox PH stratified by country (Table 2 footnote d). Trial also reports win ratio 1.52, LWYY rate ratio 0.90, Fine-Gray sHR 0.74.	JAMA main text Table 2 via PMC12676478	SCREENER-A ERROR CONFIRMED
NCT04023227	exclude	OUTCOME	INCLUDE	-	registry record for the trial above	linked to PMID 41335448	SCREENER-A ERROR CONFIRMED
34395116	undetermined	-	exclude	OUTCOME	HF-related hospitalisation RR 0.61 (0.39-0.97); HF-related death RR 0.47 (0.19-1.12) at 12 months. Fixed-timepoint dichotomous risk ratios on components; composite never formed; zero occurrences of hazard ratio/Cox/Kaplan in full text.	Cureus full text Table 2 via PMC8357012	RESOLVED - offending type 3, previously recorded as not encountered
41396086	exclude	OUTCOME	undetermined	-	registered outcome set for NCT04853758 contains no time-to-first composite; JACC full text NOT READ (no PMC record, paywalled)	ClinicalTrials.gov record NCT04853758	DOWNGRADED - blocked source, not an absence
NCT04853758	not retrieved	-	not retrieved	-	overallStatus=UNKNOWN, outside the registered filter list	ClinicalTrials.gov record	explains the registered-string miss
NCT01035255	INCLUDE	-	INCLUDE	-	primary outcome measure: Number of Participants That Had FIRST OCCURRENCE of the Composite Endpoint, either CV death or HF hospitalization	ClinicalTrials.gov record	429 CLEARED - caveat discharged
NCT02468232	INCLUDE	-	INCLUDE	-	primary outcome measure: CEC Confirmed Composite Endpoints, either CV death or HF hospitalization	ClinicalTrials.gov record	429 CLEARED - caveat discharged
41335448	exclude	OUTCOME	INCLUDE	-	HUMAN ADJUDICATION by Mahmood, 2026-08-12T13:30:45Z. Grounds: reports the registered estimand - composite of first HF hospitalisation or cardiovascular death as time-to-first-event HR 0.91 (0.73-1.13), JAMA Table 2 secondary outcomes, Cox model stratified by country. Overrides screener A stage-1 exclusion, which stands unaltered in 02_CORPUS_AND_SCREENING.tsv.	JAMA Table 2 via PMC12676478	HUMAN ADJUDICATION - INCLUDE
NCT04023227	exclude	OUTCOME	INCLUDE	-	HUMAN ADJUDICATION by Mahmood, 2026-08-12T13:30:45Z. Registry record for the trial adjudicated above.	linked to PMID 41335448	HUMAN ADJUDICATION - INCLUDE
35874853	exclude	OUTCOME	exclude	OUTCOME	Zhao 2022. MACE table: Death 1 (2.22) vs 1 (1.92); Hospitalization 11.02 +/- 2.60 vs 10.75 +/- 2.79 days; Readmission 2 (4.44) vs 1 (1.92). Raw counts and mean hospital days. No composite formed; no hazard ratio, Kaplan-Meier or Cox anywhere in the article (every HR in the tables is heart rate).	Pulm Circ full text via PMC9297686	RE-EXAMINED - exclusion CONFIRMED at full text
31475296	exclude	OUTCOME	exclude	OUTCOME	EVALUATE-HF. Primary is change in aortic characteristic impedance at 12 weeks. Every mention of the composite is background citation of PARADIGM-HF; prior HF hospitalisation appears only as a baseline characteristic. No hazard ratio, Kaplan-Meier or composite analysis.	JAMA full text via PMC6749534	RE-EXAMINED - exclusion CONFIRMED at full text
34591356	exclude	OUTCOME	exclude	OUTCOME	ACTIVITY-HF (Halle 2021). Primary peak VO2 at 12 weeks; key secondary peak VO2 at 6 weeks; further outcomes VE/VCO2 slope, first ventilatory threshold, Borg scale, heart rate. No event outcome registered or reported.	abstract + registry outcome set	RE-EXAMINED - exclusion CONFIRMED
33992607	exclude	OUTCOME	exclude	OUTCOME	Dos Santos 2021. NCT02768298 has posted results, 5 outcome measures, NONE mentioning death, mortality, hospitalisation, composite or cardiovascular.	ClinicalTrials.gov NCT02768298 outcome set (results posted)	RE-EXAMINED - exclusion CONFIRMED
33314487	exclude	OUTCOME	exclude	OUTCOME	OUTSTEP-HF. NCT02900378 has posted results, 20 outcome measures, NONE mentioning death, mortality, hospitalisation, composite or cardiovascular.	ClinicalTrials.gov NCT02900378 outcome set (results posted)	RE-EXAMINED - exclusion CONFIRMED
32978755	exclude	OUTCOME	exclude	OUTCOME	AWAKE-HF. NCT02970669 has posted results, 6 outcome measures, NONE mentioning death, mortality, hospitalisation, composite or cardiovascular.	ClinicalTrials.gov NCT02970669 outcome set (results posted)	RE-EXAMINED - exclusion CONFIRMED
NCT03190304	exclude	OUTCOME	exclude	OUTCOME	5 outcome measures, NONE event-related. No results posted.	ClinicalTrials.gov NCT03190304 outcome set	RE-EXAMINED - exclusion CONFIRMED
NCT03917459	exclude	OUTCOME	exclude	OUTCOME	3 outcome measures, NONE event-related. Results posted.	ClinicalTrials.gov NCT03917459 outcome set (results posted)	RE-EXAMINED - exclusion CONFIRMED
38508844	undetermined	-	exclude	COMPARATOR	Morrow 2024: pooled analysis of PIONEER-HF and PARAGLIDE-HF. Control therapy is enalapril OR valsartan; population spans EF <=40% and >40%; not a single randomised trial. Reports CV death or HF hospitalisation HR 0.70 (0.54-0.91) across the pooled set - a qualifying quantity attached to a non-qualifying comparator and population.	abstract	RESOLVED from undetermined
NCT02554890	exclude	OUTCOME	undetermined	-	PIONEER-HF. Registry outcome set contains no composite. BUT Morrow 2024 (PMID 38508844) reports ADJUDICATED CV death or HF hospitalisation pooled across PIONEER-HF and PARAGLIDE-HF, implying the endpoint was adjudicated within PIONEER-HF. NEJM full text NOT READ (no PMC record).	registry outcome set + PMID 38508844 abstract	DOWNGRADED - positive evidence the composite was adjudicated; full text blocked
NCT02554890	undetermined	-	exclude	OUTCOME	PIONEER-HF. FOUR independent extractions, none finding the estimand: (1) posted results module, 9 outcome measures, no composite; (2) Circulation letter PMID 30955360 - exploratory composite of death, HF rehospitalisation, LVAD implantation or transplant listing; (3) ADHF meta PMC12773504 - PIONEER-HF composite recorded as HF rehospitalisation, all-cause mortality, device implantation and transplant listing; (4) JACC Advances meta PMC11883387 - PIONEER-HF characterised solely by NT-proBNP. Quantity reported instead: time-averaged proportional change in NT-proBNP, plus a DIFFERENT composite using all-cause mortality and device/transplant events.	registry results module + 3 independent third-party extractions	DETERMINATE - exclude. NEJM text still unread; re-check if access obtained.
30415601	exclude	OUTCOME	exclude	OUTCOME	PIONEER-HF primary publication. Same evidence as NCT02554890 above.	as above	DETERMINATE - exclusion CONFIRMED
41396086	undetermined	-	undetermined	-	ANSWER-HF. Registry outcome set has no time-to-first composite; JACC abstract states clinical events were analysed by WIN RATIO within a hierarchical secondary; independent mini-review PMID 41870675 lists clinical events as a secondary and states the trial was not powered to hard clinical endpoints. NO independent party has extracted its event tables. This is the SAME CLASS of evidence that failed for PARACHUTE-HF, so it is not sufficient to exclude.	registry + trial abstract + mini-review abstract	REMAINS UNDETERMINED - deliberately
