187010962|NCT01539226|EG000|deaths|Total, all-cause mortality|3|652|2026-04-10 09:11:34.430426|2026-04-10 09:11:34.430426
187010963|NCT01539226|EG001|deaths|Total, all-cause mortality|2|1306|2026-04-10 09:11:34.430426|2026-04-10 09:11:34.430426
187011138|NCT01539226|EG000|other|Total, other adverse events|561|652|2026-04-10 09:11:34.518385|2026-04-10 09:11:34.518385
187011139|NCT01539226|EG001|other|Total, other adverse events|1147|1306|2026-04-10 09:11:34.518385|2026-04-10 09:11:34.518385
187011314|NCT01539226|EG000|serious|Total, serious adverse events|9|652|2026-04-10 09:11:34.580599|2026-04-10 09:11:34.580599
187011315|NCT01539226|EG001|serious|Total, serious adverse events|41|1306|2026-04-10 09:11:34.580599|2026-04-10 09:11:34.580599
187330427|NCT01617096|EG000|deaths|Total, all-cause mortality|4|1313|2026-04-11 09:30:43.287918|2026-04-11 09:30:43.287918
187330428|NCT01617096|EG001|deaths|Total, all-cause mortality|3|1316|2026-04-11 09:30:43.287918|2026-04-11 09:30:43.287918
187330615|NCT01617096|EG000|other|Total, other adverse events|1237|1313|2026-04-11 09:30:43.353287|2026-04-11 09:30:43.353287
187330616|NCT01617096|EG001|other|Total, other adverse events|1041|1316|2026-04-11 09:30:43.353287|2026-04-11 09:30:43.353287
187330803|NCT01617096|EG000|serious|Total, serious adverse events|116|1313|2026-04-11 09:30:43.454216|2026-04-11 09:30:43.454216
187330804|NCT01617096|EG001|serious|Total, serious adverse events|130|1316|2026-04-11 09:30:43.454216|2026-04-11 09:30:43.454216
