211279335|NCT01617096|PRIMARY|Efficacy as Determined by the Proportion of Women in Each Arm With HIV-1 Seroconversion After 120 Endpoints Are Observed in the Trial.|The primary endpoint is HIV-1 seroconversion as measured by rapid and specialised laboratory testing according to comprehensive HIV testing algorithm. Endpoint confirmation of HIV infection is by Western Blot.|minimum of 12 months and a maximum of 14 months per participant|The primary effectiveness Cohort included all eligible randomised participants excluding participants deemed to be HIV-1 RNA positive at the time of randomization, based on retrospective PCR testing of stored blood samples taken at enrollment.|||Participants|||COUNT_OF_PARTICIPANTS
211279336|NCT01617096|PRIMARY|The Number of Participants That Experienced Grade 2, 3, 4 and Serious Adverse Events Over the Investigational Product Used Period (25 mg Dapivirine Administered in a Silicone Elastomer Vaginal Matrix Ring (DVR), Inserted Once Every 4 Weeks).|"Participants with grade 2 adverse events, judged to be related to investigational product, grade 3 and grade 4 adverse events and all serious adverse events.~DAIDS severity grades are defined as follows:~Grade 1 = mild Grade 2 = moderate Grade 3 = severe Grade 4 = potentially life-threatening Grade 5 = death"|minimum of 12 months and a maximum of 14 months per participant|The Primary Safety Cohort (or ITT Cohort) included all eligible, randomized participants. All participants were analyzed as members of the treatment group to which they were randomized regardless of adherence to the planned course of treatment.|||Participants|||COUNT_OF_PARTICIPANTS
211279337|NCT01617096|SECONDARY|Adherence to the Dapivirine Vaginal Ring.|"Dapivirine residual levels in used rings and dapivirine plasma concentrations are two objective measures of adherence to DVR ring use.~Adherence was defined as a dapivirine ring residual level \<=23.5 mg and dapivirine plasma level \>= 95 pg/mL."|12 months per participant|Adherence is defined by a dapivirine residual level in returned used rings ≤ 23.5 mg and a dapivirine plasma concentration ≥ 95 pg/mL (if they are both available; otherwise categorisation was based on the available measurement. The objective measures (dapivirine residual levels in used rings and dapivirine plasma concentrations) used can only be determined for participants who used the active vaginal dapivirine ring.|||participants with data|||NUMBER
211279338|NCT01617096|SECONDARY|Acceptability of the DVR and Placebo Vaginal Ring|Questionnaires and qualitative data regarding the acceptability of use of a vaginal ring inserted once every 4 weeks over the trial period; Percentage of participants with positive response. Response of 'likely' or 'very likely' to the question: 'If in the future a vaginal ring was available that provided some protection against HIV, and it was similar to the one you used in this trial, how likely would you be to keep it inserted in your vagina every day?'|12 months per participant|The Primary Safety Cohort (or ITT Cohort) included all eligible, randomized participants. Acceptability was reported for participant who provided responses to acceptability questionnaires.|||percentage of participants with data|||NUMBER
211279339|NCT01617096|SECONDARY|Human Immunodeficiency Virus Type 1 Drug Resistance Mutations Among Participants Who Acquired HIV-1 Infection.|The analysis of HIV-1 drug resistance will be primarily descriptive in nature, and will depend on the pattern of resistance mutations observed in the HIV-1 seroconverters. The percentage of HIV-1 seroconverters with at least one HIV-1 drug resistant mutation will be presented overall, and by treatment arm, with corresponding 95% CIs.|minimum of 12 months and a maximum of 14 months per participant|The virology population included all ITT participants with seroconversion, excluding those who never received investigational product, or were retrospectively found to be HIV-1 RNA positive at enrollment (m-ITT) or were HIV-1 infected after discontinuation of ring use. Seroconversions among participants who were continued on open-label DVR-004 were included in the DVR-004 group, independent of initial randomization.|||Participants|||COUNT_OF_PARTICIPANTS
210927289|NCT01539226|PRIMARY|HIV-1 Seroconversion According to Comprehensive HIV Testing Algorithm.|HIV-1 seroconversion measured by rapid and specialised laboratory testing according to the comprehensive HIV testing algorithm.|24 months|This population consisted of all participants included in the ITT population (all randomised), excluding those who were not identified as HIV-seropositive at the Enrollment Visit, but who were later found to be already HIV-1 infected at enrollment through HIV-1 RNA PCR testing.|||Participants|||COUNT_OF_PARTICIPANTS
210927290|NCT01539226|PRIMARY|All Adverse Events|Self-reports, physical examination, gynaecological assessments, including pelvic/speculum examination, laboratory tests and other indicated investigations. All AEs will be reported, regardless of grade or relatedness.|24 months|The safety population included all participants who had been randomized to IP and used at least one DVR or placebo ring.|||Participants|||COUNT_OF_PARTICIPANTS
210927291|NCT01539226|SECONDARY|The Incidence Rate of HIV-2 Seroconversion.|Rapid and specialised laboratory testing according to the comprehensive HIV testing algorithm in Appendix C of protocol.|24 months|This population consisted of all participants included in the ITT population, excluding those who were not identified as HIV-seropositive at the Enrollment Visit, but who were later found to be already HIV-1 infected at enrollment through HIV-1 RNA PCR testing.|||Participants|||COUNT_OF_PARTICIPANTS
210927292|NCT01539226|SECONDARY|The Incidence of Curable STIs|The percentage of participants testing positive for any STI (gonorrhoea, chlamydia, trichomonas, syphilis) will be assessed.|24 months|The safety population included all participants who had been randomized to IP and used at least one DVR or placebo ring.|||Participants|||COUNT_OF_PARTICIPANTS
210927293|NCT01539226|SECONDARY|Percentage of Participants With Pregnancy in Each Trial Arm Over the IP Use Period;|The percentage of participants with pregnancies in each treatment group. For each treatment group, the numerator will include the number of participants that had a positive urine pregnancy test during the trial period.|24 months|The safety population included all participants who had been randomized to IP and used at least one DVR or placebo ring.|||Participants|||COUNT_OF_PARTICIPANTS
210927294|NCT01539226|SECONDARY|The Percentage of Women Who Report Adherence to the Use of the Vaginal Ring Inserted Once Every 4 Weeks Over the Trial Period;|"Questionnaires and qualitative data regarding sexual behaviour and adherence to the use of a vaginal ring inserted once every 4 weeks over the trial period.~Dapivirine residual levels in used rings and dapivirine plasma concentrations are two objective measures of adherence to DVR ring use,"|24 months|The objective measures (dapivirine residual levels in used rings and dapivirine plasma concentrations) used can only be determined for participants who used the active vaginal dapivirine ring.|||percentage of participants with data|||NUMBER
210927295|NCT01539226|SECONDARY|The Percentage of Women Who Report the Use of the Vaginal Ring as Acceptable;|Questionnaires and qualitative data regarding the acceptability of use of a vaginal ring inserted once every 4 weeks over the trial period; Number of participants with positive response. Response of 'likely' or 'very likely' to the question: 'If in the future a vaginal ring was available that provided some protection against HIV, and it was similar to the one you used in this trial, how likely would you be to keep it inserted in your vagina every day?'|24 months|This population consisted of all participants included in the ITT population, excluding those who were not identified as HIV-seropositive at the Enrollment Visit, but who were later found to be already HIV-1 infected at enrollment through HIV-1 RNA PCR testing.|||percentage of participants with data|||NUMBER
210927296|NCT01539226|SECONDARY|The Percentage of Participants With HIV-1 Drug Resistance Mutations Among Participants Who Acquire HIV-1.|The analysis of HIV-1 drug resistance will be primarily descriptive in nature, and will depend on the pattern of resistance mutations observed in the HIV-1 seroconverters. The proportion of HIV-1 seroconverters with at least one HIV-1 drug resistant mutation will be presented overall, and by treatment arm, with corresponding 95% CIs.|24 months|The virology population included all ITT participants with seroconversion, excluding those who never received investigational product, or were retrospectively found to be HIV-1 RNA positive at enrollment (m-ITT) or were HIV-1 infected after discontinuation of ring use. Seroconversions among participants who were continued on open-label DVR-004 were included in the DVR-004 group, independent of initial randomization.|||Participants|||COUNT_OF_PARTICIPANTS
