severity,code,review,scope,ncts,message
P0,T04,ANTIFUNGAL_NEWER_RESISTANT_REVIEW,trial,NCT04240886,"tE=110 out of [0, tN=100]"
P0,T04,ANTIFUNGAL_NEWER_RESISTANT_REVIEW,trial,NCT03583164,"tE=120 out of [0, tN=100]"
P0,T04,BISPECIFIC_LYMPHOMA_NMA_REVIEW,trial,NCT05904236,"tE=130 out of [0, tN=100]"
P0,T04,BRONCHIECTASIS_BROAD_NMA_REVIEW,trial,NCT00316524,"cE=47 out of [0, cN=40]"
P0,T04,BRONCHIECTASIS_BROAD_NMA_REVIEW,trial,NCT00415908,"cE=86 out of [0, cN=70]"
P0,T04,COPD_TRIPLE_REVIEW,trial,NCT02164513,"tE=4420 out of [0, tN=4151]"
P0,T04,COPD_TRIPLE_REVIEW,trial,NCT02164513,"cE=4957 out of [0, cN=4134]"
P0,T04,CRYO_AF_ABLATION_NMA_REVIEW,trial,NCT04457492,"tE=62 out of [0, tN=55]"
P0,T04,DEPRESSION_NEW_RAPID_REVIEW,trial,NCT03775200,"tE=17 out of [0, tN=14]"
P0,T04,DEPRESSION_PSYCHEDELIC_NMA_REVIEW,trial,NCT03775200,"tE=98 out of [0, tN=79]"
P0,T04,DUCHENNE_GENE_THERAPY_REVIEW,trial,NCT03825555,"tE=30 out of [0, tN=20]"
P0,T04,EGPA_BIOLOGIC_NMA_REVIEW,trial,NCT05000329,"tE=38 out of [0, tN=35]"
P0,T04,EOE_BIOLOGIC_NMA_REVIEW,trial,NCT04606667,"tE=130 out of [0, tN=125]"
P0,T04,EOSINOPHILIC_DISEASES_BROAD_REVIEW,trial,NCT02898454,"tE=145 out of [0, tN=143]"
P0,T04,GnRH_ANTAGONISTS_GYN_REVIEW,trial,NCT01931670,"tE=256 out of [0, tN=248]"
P0,T04,HEAD_NECK_IO_BROAD_REVIEW,trial,NCT02551159,"tE=274 out of [0, tN=240]"
P0,T04,HEMOPHILIA_FACTOR_PROPHYLAXIS_REVIEW,trial,NCT02622321,"cE=21 out of [0, cN=18]"
P0,T04,HIPEC_PERITONEAL_NMA_REVIEW,trial,NCT01823900,"tE=18 out of [0, tN=17]"
P0,T04,HYPERKALEMIA_K_BINDER_NMA_REVIEW,trial,NCT03533790,"tE=210 out of [0, tN=145]"
P0,T04,HoFH_LIPID_NEW_NMA_REVIEW,trial,NCT03399786,"tE=44 out of [0, tN=43]"
P0,T04,HoFH_LIPID_NEW_NMA_REVIEW,trial,NCT00730821,"tE=24 out of [0, tN=23]"
P0,T04,INTRAVASCULAR_LITHOTRIPSY_NMA_REVIEW,trial,NCT05000510,"tE=250 out of [0, tN=153]"
P0,T04,INTRAVASCULAR_LITHOTRIPSY_NMA_REVIEW,trial,NCT05000512,"tE=1450 out of [0, tN=850]"
P0,T04,INTRAVASCULAR_LITHOTRIPSY_NMA_REVIEW,trial,NCT05000512,"cE=1380 out of [0, cN=850]"
P0,T04,INTRAVASCULAR_LITHOTRIPSY_NMA_REVIEW,trial,NCT05000513,"tE=175 out of [0, tN=100]"
P0,T04,INTRAVASCULAR_LITHOTRIPSY_NMA_REVIEW,trial,NCT05000513,"cE=165 out of [0, cN=100]"
P0,T04,INTRAVASCULAR_LITHOTRIPSY_NMA_REVIEW,trial,NCT05000514,"tE=200 out of [0, tN=125]"
P0,T04,INTRAVASCULAR_LITHOTRIPSY_NMA_REVIEW,trial,NCT05000515,"tE=90 out of [0, tN=50]"
P0,T04,MASTOCYTOSIS_NEW_NMA_REVIEW,trial,NCT04695431,"tE=36 out of [0, tN=30]"
P0,T04,MASTOCYTOSIS_NEW_NMA_REVIEW,trial,NCT05186871,"tE=60 out of [0, tN=50]"
P0,T04,MASTOCYTOSIS_NEW_NMA_REVIEW,trial,NCT05014438,"tE=50 out of [0, tN=40]"
P0,T04,MASTOCYTOSIS_NEW_NMA_REVIEW,trial,NCT05125000,"tE=65 out of [0, tN=55]"
P0,T04,MASTOCYTOSIS_NEW_NMA_REVIEW,trial,NCT04774017,"tE=38 out of [0, tN=35]"
P0,T04,MASTOCYTOSIS_NEW_NMA_REVIEW,trial,NCT04438153,"tE=35 out of [0, tN=30]"
P0,T04,MITRACLIP_TEER_REVIEW,trial,NCT02371512,"cE=112 out of [0, cN=105]"
P0,T04,MPOX_VACCINE_NMA_REVIEW,trial,NCT00316524,"tE=65 out of [0, tN=40]"
P0,T04,MPOX_VACCINE_NMA_REVIEW,trial,NCT01144442,"tE=3500 out of [0, tN=2000]"
P0,T04,MPOX_VACCINE_NMA_REVIEW,trial,NCT04492722,"tE=290 out of [0, tN=180]"
P0,T04,MPOX_VACCINE_NMA_REVIEW,trial,NCT05000405,"tE=165 out of [0, tN=100]"
P0,T04,MPOX_VACCINE_NMA_REVIEW,trial,NCT05000406,"tE=245 out of [0, tN=150]"
P0,T04,MPOX_VACCINE_NMA_REVIEW,trial,NCT05000407,"tE=65 out of [0, tN=40]"
P0,T04,MPOX_VACCINE_NMA_REVIEW,trial,NCT05000408,"tE=195 out of [0, tN=120]"
P0,T04,MPOX_VACCINE_NMA_REVIEW,trial,NCT05000409,"tE=1180 out of [0, tN=750]"
P0,T04,MPOX_VACCINE_NMA_REVIEW,trial,NCT05000410,"tE=65 out of [0, tN=40]"
P0,T04,MR_FUS_TREMOR_NMA_REVIEW,trial,NCT02252146,"tE=28 out of [0, tN=27]"
P0,T04,MR_FUS_TREMOR_NMA_REVIEW,trial,NCT05000337,"tE=18 out of [0, tN=13]"
P0,T04,MR_FUS_TREMOR_NMA_REVIEW,trial,NCT05000339,"tE=35 out of [0, tN=30]"
P0,T04,MR_FUS_TREMOR_NMA_REVIEW,trial,NCT05000339,"cE=32 out of [0, cN=30]"
P0,T04,MR_FUS_TREMOR_NMA_REVIEW,trial,NCT05000341,"tE=18 out of [0, tN=15]"
P0,T04,MYASTHENIA_GRAVIS_BIOLOGICS_REVIEW,trial,NCT04723238,"tE=110 out of [0, tN=100]"
