severity,code,review,scope,ncts,message
P2,T10,AD_PEDIATRIC_BIOLOGIC_NMA_REVIEW,trial,NCT03345914,baseline.n=251 differs from tN+cN=167 by >15%
P2,T10,AD_PEDIATRIC_BIOLOGIC_NMA_REVIEW,trial,NCT03346434,baseline.n=367 differs from tN+cN=245 by >15%
P2,T10,ANTI_PD1_GASTRIC_REVIEW,trial,NCT02370498,baseline.n=592 differs from tN+cN=395 by >15%
P2,T10,ANTI_PD1_GASTRIC_REVIEW,trial,NCT02494583,baseline.n=763 differs from tN+cN=506 by >15%
P2,T10,ANTI_PDL1_BLADDER_REVIEW,trial,NCT02853305,baseline.n=1010 differs from tN+cN=703 by >15%
P2,T10,ANTI_PDL1_BLADDER_REVIEW,trial,NCT02807636,baseline.n=1213 differs from tN+cN=851 by >15%
P2,T10,AXSPA_BIOLOGICS_REVIEW,trial,NCT01358175,baseline.n=371 differs from tN+cN=246 by >15%
P2,T10,AXSPA_BIOLOGICS_REVIEW,trial,NCT01649375,baseline.n=219 differs from tN+cN=147 by >15%
P2,T10,AXSPA_BIOLOGICS_REVIEW,trial,NCT02008916,baseline.n=226 differs from tN+cN=150 by >15%
P2,T10,AXSPA_BIOLOGICS_REVIEW,trial,NCT02696031,baseline.n=341 differs from tN+cN=168 by >15%
P2,T10,AXSPA_BIOLOGICS_REVIEW,trial,NCT02696785,baseline.n=316 differs from tN+cN=202 by >15%
P2,T10,AXSPA_BIOLOGICS_REVIEW,trial,NCT02757352,baseline.n=303 differs from tN+cN=207 by >15%
P2,T10,BARIATRIC_RYGB_VS_SG_REVIEW,trial,NCT00432809,baseline.n=150 differs from tN+cN=96 by >15%
P2,T10,BLADDER_UROTHEL_FRONTLINE_IO_NMA_REVIEW,trial,NCT02807636,baseline.n=1213 differs from tN+cN=851 by >15%
P2,T10,BLADDER_UROTHEL_FRONTLINE_IO_NMA_REVIEW,trial,NCT02516241,baseline.n=1032 differs from tN+cN=690 by >15%
P2,T10,BLADDER_UROTHEL_FRONTLINE_IO_NMA_REVIEW,trial,NCT03682068,baseline.n=1265 differs from tN+cN=845 by >15%
P2,T10,CARBAPENEM_RESISTANT_ABX_REVIEW,trial,NCT02321800b,baseline.n=452 differs from tN+cN=371 by >15%
P2,T10,CDK46_BREAST_CANCER_REVIEW,trial,NCT03079011,baseline.n=1017 differs from tN+cN=172 by >15%
P2,T10,CGRP_MIGRAINE_PREVENT_REVIEW,trial,NCT02456740,baseline.n=955 differs from tN+cN=637 by >15%
P2,T10,CGRP_MIGRAINE_PREVENT_REVIEW,trial,NCT02629861,baseline.n=875 differs from tN+cN=584 by >15%
P2,T10,CGRP_MIGRAINE_PREVENT_REVIEW,trial,NCT02621931,baseline.n=1130 differs from tN+cN=750 by >15%
P2,T10,CGRP_MIGRAINE_PREVENT_REVIEW,trial,NCT03308968,baseline.n=838 differs from tN+cN=560 by >15%
P2,T10,CGRP_MIGRAINE_PREVENT_REVIEW,trial,NCT02614183,baseline.n=858 differs from tN+cN=638 by >15%
P2,T10,CGRP_MIGRAINE_PREVENT_REVIEW,trial,NCT02614196,baseline.n=915 differs from tN+cN=676 by >15%
P2,T10,CGRP_MIGRAINE_PREVENT_REVIEW,trial,NCT02614261,baseline.n=1117 differs from tN+cN=831 by >15%
P2,T10,CGRP_MIGRAINE_PREVENT_REVIEW,trial,NCT02559895,baseline.n=888 differs from tN+cN=445 by >15%
P2,T10,CGRP_MIGRAINE_PREVENT_REVIEW,trial,NCT02974153,baseline.n=1072 differs from tN+cN=722 by >15%
P2,T10,CGRP_MIGRAINE_PREVENT_REVIEW,trial,NCT04418765,baseline.n=890 differs from tN+cN=589 by >15%
P2,T10,CGRP_MIGRAINE_PREVENT_REVIEW,trial,NCT03777059,baseline.n=910 differs from tN+cN=444 by >15%
P2,T10,CGRP_MIGRAINE_PREVENT_REVIEW,trial,NCT03855137,baseline.n=778 differs from tN+cN=502 by >15%
P2,T10,CHECKPOINT_ESOPHAGEAL_SCC_REVIEW,trial,NCT03143153,baseline.n=970 differs from tN+cN=645 by >15%
